930.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	6	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	6	0	0	0	0	0	2	2	0	0	2	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
931.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	
932.EXE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
939.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
940.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	6	0	
941.EXE	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	6	6	0	0	
943.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	6	6	6	6	
944.EXE	0	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
946.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	0	0	6	6	
948.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
950.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	0	6	0	6	2	2	2	0	0	0	2	0	0	0	2	0	2	0	0	0	0	2	0	2	6	0	0	0	6	0	0	0	6	6	
951.EXE	2	2	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	6	0	0	0	6	0	0	6	6	6	
952.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	0	0	6	0	
953.EXE	2	2	0	2	0	2	2	2	0	2	0	2	2	2	2	0	2	0	2	2	6	0	0	0	6	0	0	0	6	6	
954.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	0	6	6	6	
955.EXE	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	6	6	
956.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	6	0	0	6	6	
957.EXE	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	
958.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	0	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	0	0	6	0	0	
959.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	6	0	0	0	6	6	
962.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	6	6	6	6	6	0	0	0	0	
963.EXE	0	0	2	2	0	2	2	2	0	2	2	2	2	2	2	0	2	2	2	2	6	0	0	0	6	0	0	0	0	0	
965.EXE	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	6	0	0	0	6	6	
966.EXE	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	6	0	6	0	0	0	
968.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	6	6	0	0	0	
969.EXE	2	2	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	0	0	0	6	0	0	0	0	6	
971.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	6	6	6	6	0	0	6	0	0	
930.EXE	0	0	0	0	0	2	2	0	0	2	0	2	2	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	
931.EXE	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	6	0	
950.EXE	2	2	2	0	0	0	2	0	0	0	2	0	2	0	0	0	0	2	0	2	6	0	0	0	6	0	0	0	6	6	
958.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6	6	6	6	0	0	0	6	0	0	
970.EXE	0	0	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	6	0	0	0	0	6	
972.EXE	2	2	0	0	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	0	0	0	0	6	0	0	0	6	6	
